envrank,Mcut,M1,Slope
5,494456598938.731079,5660228029402.021484,1.088181
15,486817325068.212952,5424810158036.209961,1.078185
25,488655489024.454590,5170502044394.841797,1.070121
35,479455074794.544617,5031903802458.165039,1.065282
45,479320717168.339417,4834117823610.026367,1.059713
55,477427928114.623047,4726767082187.080078,1.066357
65,465893846524.673828,4631513475292.509766,1.070438
75,464001373680.557251,4515996555175.205078,1.076656
85,386392144281.622253,4666438206205.285156,1.106095
95,360323970412.072144,4649862199097.593750,1.137754
