envrank,Mcut,M1,Slope
5,703873120459.972534,6321601889273.679688,1.096953
15,595238198433.461426,5945590451064.684570,1.103840
25,485496159983.398071,5707821479826.009766,1.108496
35,472557354579.731323,5415966676407.122070,1.093229
45,482997135314.753113,4967945204693.194336,1.075256
55,468137293512.821289,4709924742887.852539,1.059439
65,384561249318.660706,4672471594361.086914,1.079435
75,396878571685.569824,4363461036477.669922,1.068946
85,392857346675.395752,4146796072870.726074,1.066828
95,376718079824.802063,4006741905645.694824,1.098138
