logr,xi,xi_shuffle_by_mass,xi_mass_g125,xi_mass_g25,xi_mass_g5,xi_mass_g10,xi_mass_r10m,xi_mass_alpha125,xi_mass_alpha25,xi_mass_alpha5,xi_mass_alpha10,xi_mass_alphacl125,xi_mass_alphacl25,xi_mass_alphacl5,xi_mass_alphacl10
-1.070072,2889.156347,2889.930513,2890.541034,2890.100452,2889.848690,2890.037511,2890.100452,2890.226332,2890.100452,2889.974571,2889.848690,2890.037511,2889.785750,2890.037511,2889.722810
-0.968940,1928.752110,1929.371932,1929.867789,1929.774816,1929.495896,1929.712834,1929.124003,1929.340941,1929.464905,1929.278959,1929.433914,1929.340941,1929.433914,1929.495896,1929.402923
-0.867510,1295.336973,1296.048073,1296.359369,1296.450927,1296.115215,1296.283071,1296.130475,1296.160994,1295.810022,1295.947359,1295.825282,1295.962619,1296.145734,1296.237292,1295.932099
-0.765844,876.325912,877.072771,877.437935,877.392853,877.362798,877.362798,877.385339,877.009656,876.994629,877.084793,877.114847,877.174957,877.129875,877.092306,877.280148
-0.663990,588.338150,589.093247,589.399947,589.496138,589.181668,589.248262,589.351852,589.022584,589.015184,589.155771,589.115075,589.214965,589.159470,589.055880,589.222364
-0.561988,395.424234,396.100799,396.597383,396.437077,396.304096,396.311383,396.340529,396.081854,396.149255,396.112822,396.160185,396.172937,396.278593,396.160185,396.081854
-0.459868,263.891443,264.310146,264.851195,264.791098,264.616190,264.487924,264.705886,264.346204,264.371319,264.331852,264.357864,264.464603,264.369525,264.483439,264.470882
-0.357654,175.014817,174.904978,175.542595,175.428206,175.298360,175.099173,175.470163,174.907054,174.991410,174.987435,174.856263,175.058983,175.124348,175.063399,175.044850
-0.255368,113.524531,112.857847,113.700896,113.553889,113.225081,113.041975,113.604124,112.885400,113.031102,112.939114,112.862349,113.091340,113.185503,113.069159,112.963688
-0.153023,72.239498,71.017648,72.010566,71.727025,71.474644,71.210698,71.821146,71.081027,71.259097,71.130282,71.031664,71.283831,71.379130,71.262737,71.154910
-0.050632,44.605311,43.026547,44.145138,43.863699,43.481400,43.266076,43.820466,43.123037,43.320487,43.154355,43.066253,43.290382,43.404001,43.304459,43.161472
0.051796,26.692148,25.040947,26.177662,25.916136,25.578701,25.269822,25.807647,25.131998,25.353519,25.242019,25.085269,25.289345,25.469563,25.367927,25.203675
0.154252,15.730418,14.242658,15.272313,15.095644,14.789052,14.505302,14.873967,14.291295,14.538077,14.440341,14.305394,14.401123,14.640849,14.568487,14.414226
0.256731,9.223616,8.078663,8.951323,8.822440,8.563259,8.333287,8.542205,8.115186,8.345989,8.277547,8.156991,8.180046,8.414367,8.361447,8.252510
0.359227,5.507574,4.728434,5.415856,5.376088,5.146698,4.978088,5.056340,4.738375,4.913546,4.916698,4.795092,4.772633,4.989254,4.973808,4.880007
0.461738,3.442402,2.956104,3.466677,3.498713,3.320142,3.155537,3.181474,2.939537,3.067456,3.074141,3.011109,2.979731,3.131950,3.158557,3.088755
0.564260,2.280133,1.959396,2.302728,2.382009,2.265318,2.125419,2.106894,1.933408,2.007744,2.041035,1.999569,1.974225,2.055507,2.124235,2.078249
0.666791,1.572170,1.356528,1.565386,1.658657,1.607938,1.501598,1.451621,1.339855,1.366423,1.415515,1.392235,1.365036,1.400595,1.488229,1.452676
0.769329,1.077556,0.939104,1.070459,1.141438,1.140223,1.065186,1.004630,0.927152,0.933786,0.983202,0.965785,0.944801,0.965906,1.021591,1.015197
0.871873,0.728170,0.632791,0.717963,0.759254,0.777311,0.734085,0.678232,0.622170,0.625849,0.655825,0.657051,0.634459,0.645071,0.685220,0.695012
0.974420,0.489291,0.425521,0.479634,0.502567,0.525590,0.503301,0.455729,0.418847,0.416506,0.430579,0.441876,0.426644,0.430233,0.459721,0.471458
1.076972,0.319686,0.280405,0.316273,0.328514,0.339537,0.340241,0.298992,0.275635,0.273862,0.278933,0.293145,0.281389,0.283901,0.300895,0.313277
1.179525,0.204535,0.179736,0.200506,0.208388,0.214550,0.221869,0.191471,0.175769,0.174441,0.176508,0.185975,0.179315,0.180975,0.189799,0.203225
1.282081,0.125540,0.110822,0.122895,0.129200,0.131135,0.138353,0.117694,0.108358,0.105891,0.107857,0.112334,0.111168,0.112394,0.116760,0.125439
1.384639,0.070498,0.061741,0.068576,0.071795,0.074189,0.077215,0.065790,0.061307,0.058855,0.060675,0.061286,0.062618,0.062834,0.065043,0.070258
1.487198,0.033625,0.029111,0.032824,0.033703,0.035893,0.037080,0.030684,0.029541,0.027726,0.027963,0.028111,0.029467,0.029325,0.031126,0.033389
1.589758,0.014181,0.012300,0.013384,0.014176,0.015238,0.015749,0.012687,0.012604,0.011394,0.011586,0.011195,0.012472,0.012593,0.012916,0.014566
