logr,xi,xi_shuffle_by_mass,xi_mass_alpha03g125,xi_mass_alpha03g25,xi_mass_alpha03g5,xi_mass_alpha03g10,xi_mass_alpha055g125,xi_mass_alpha03g25,xi_mass_alpha03g5,xi_mass_alpha03g10
-1.070072,2296.537361,2297.449594,2297.498271,2297.491950,2297.308618,2297.555167,2297.517237,2297.485628,2297.447697,2297.472984
-0.968940,1617.382332,1618.262312,1618.375306,1618.322389,1618.219667,1618.253908,1618.229006,1618.263246,1618.176088,1618.110720
-0.867510,1145.580598,1146.496534,1146.638155,1146.518605,1146.524736,1146.494082,1146.555390,1146.546194,1146.504811,1146.491017
-0.765844,805.017220,805.858914,806.043584,805.896422,805.867744,805.811143,805.866235,805.845858,805.758315,805.804351
-0.663990,559.602758,560.173045,560.360441,560.207344,560.184676,560.157921,560.210316,560.163124,560.156063,560.150861
-0.561988,385.733850,385.902383,386.108754,385.980492,385.886629,385.858269,385.933286,385.891569,385.879127,385.856805
-0.459868,261.781120,261.266920,261.536250,261.337147,261.213001,261.244262,261.308047,261.242641,261.250028,261.236695
-0.357654,174.711679,173.513843,173.774038,173.609062,173.487737,173.495811,173.567319,173.498162,173.507744,173.495545
-0.255368,113.878995,112.132264,112.447092,112.239873,112.127691,112.101261,112.157571,112.124851,112.135772,112.113559
-0.153023,72.448307,70.266058,70.632192,70.402735,70.290551,70.255210,70.314997,70.264416,70.270331,70.256490
-0.050632,44.685555,42.369988,42.783079,42.506108,42.404009,42.361406,42.461302,42.361670,42.353171,42.376392
0.051796,26.675275,24.521930,24.996036,24.664578,24.566776,24.512900,24.665629,24.553095,24.504494,24.528882
0.154252,15.533885,13.797037,14.266667,13.942691,13.858405,13.807440,13.986599,13.814756,13.785959,13.803094
0.256731,8.968608,7.745313,8.174256,7.881308,7.800558,7.759255,7.939017,7.759433,7.748374,7.754022
0.359227,5.261259,4.486963,4.861824,4.623145,4.528146,4.500943,4.664482,4.504463,4.493880,4.494379
0.461738,3.236570,2.771656,3.078953,2.895550,2.808294,2.781492,2.922068,2.795915,2.777927,2.781067
0.564260,2.120072,1.819659,2.070923,1.936753,1.852764,1.827209,1.948647,1.853213,1.822163,1.820632
0.666791,1.458407,1.257549,1.454681,1.357232,1.292724,1.270569,1.358032,1.291360,1.257150,1.258032
0.769329,1.004001,0.872152,1.012799,0.959206,0.901657,0.880295,0.954795,0.895436,0.877151,0.872735
0.871873,0.679569,0.588818,0.682526,0.654500,0.612254,0.592861,0.648697,0.610981,0.596148,0.594110
0.974420,0.454832,0.396099,0.455280,0.441484,0.416515,0.400769,0.435917,0.412301,0.399414,0.396683
1.076972,0.299419,0.261438,0.300814,0.294256,0.278312,0.265742,0.286236,0.271071,0.263272,0.262737
1.179525,0.191256,0.167607,0.193468,0.188151,0.180106,0.169105,0.183281,0.173999,0.167873,0.167240
1.282081,0.117287,0.103418,0.119340,0.115822,0.111112,0.105906,0.112852,0.106683,0.103508,0.103854
1.384639,0.066060,0.057496,0.066577,0.064707,0.062085,0.059086,0.063518,0.059539,0.057676,0.057285
1.487198,0.031825,0.027381,0.031838,0.030711,0.029807,0.028611,0.030453,0.028337,0.027673,0.027112
1.589758,0.013101,0.011494,0.013331,0.013025,0.012649,0.012587,0.012780,0.011671,0.011334,0.011207
