logr,xi,xi_shuffle_by_mass,xi_mass_a05,xi_mass_con,xi_mass_j,xi_mass_vmax,xi_mass_vpeak,xi_mass_avpeak,xi_mass_afirst,xi_mass_alast,xi_mass_nsub,xi_mass_nsat
-1.070072,2296.537361,2297.449594,2297.498271,2297.397123,2297.561489,2297.555167,2297.599420,2297.435054,2297.466663,2297.359192,2297.593098,2297.321262
-0.968940,1617.382332,1618.262312,1618.506042,1618.260133,1618.263246,1618.462463,1618.493591,1618.238344,1618.319276,1618.182314,1618.334840,1618.269472
-0.867510,1145.580598,1146.496534,1146.633557,1146.589109,1146.434307,1146.667276,1146.776097,1146.504811,1146.595240,1146.464961,1146.602903,1146.438905
-0.765844,805.017220,805.858914,806.046603,805.905478,805.823972,805.964343,806.217160,805.974154,805.863970,805.860952,805.950759,805.805860
-0.663990,559.602758,560.173045,560.511309,560.368988,560.208087,560.408005,560.508707,560.266056,560.202513,560.190622,560.234470,560.222951
-0.561988,385.733850,385.902383,386.332342,386.089359,385.928346,386.141688,386.323377,386.001168,385.964391,385.921576,385.981407,385.950119
-0.459868,261.781120,261.266920,261.787156,261.523277,261.351021,261.556971,261.848689,261.374265,261.308138,261.280209,261.312102,261.291290
-0.357654,174.711679,173.513843,174.120358,173.819241,173.593004,173.878018,174.153584,173.640603,173.535025,173.554233,173.606534,173.562706
-0.255368,113.878995,112.132264,112.777525,112.512052,112.250663,112.534069,112.846001,112.246317,112.170196,112.173516,112.250314,112.192759
-0.153023,72.448307,70.266058,70.953475,70.665156,70.386141,70.675245,71.024910,70.409533,70.317266,70.291034,70.402811,70.319804
-0.050632,44.685555,42.369988,43.018771,42.762612,42.496089,42.755076,43.092608,42.504128,42.443583,42.402208,42.525559,42.432711
0.051796,26.675275,24.521930,25.091084,24.841614,24.647301,24.849771,25.150368,24.620102,24.588898,24.574262,24.678150,24.574260
0.154252,15.533885,13.797037,14.238827,14.033182,13.903401,14.047098,14.294195,13.881183,13.861198,13.838931,13.950018,13.849146
0.256731,8.968608,7.745313,8.047955,7.898863,7.813630,7.917291,8.083363,7.796531,7.787559,7.774564,7.888570,7.791739
0.359227,5.261259,4.486963,4.684174,4.579536,4.538179,4.593447,4.708422,4.514169,4.520020,4.500530,4.609108,4.535698
0.461738,3.236570,2.771656,2.889714,2.824478,2.809043,2.831736,2.897255,2.787992,2.782081,2.785194,2.868279,2.825504
0.564260,2.120072,1.819659,1.898123,1.857773,1.851447,1.864174,1.893591,1.833299,1.837215,1.837981,1.902566,1.875621
0.666791,1.458407,1.257549,1.305136,1.287844,1.277892,1.287363,1.302396,1.269735,1.266217,1.268741,1.322798,1.300123
0.769329,1.004001,0.872152,0.900009,0.889137,0.886177,0.894765,0.900381,0.879475,0.874173,0.880832,0.919752,0.904268
0.871873,0.679569,0.588818,0.607584,0.597792,0.598910,0.606055,0.609959,0.594373,0.595064,0.594126,0.619402,0.611652
0.974420,0.454832,0.396099,0.408973,0.402067,0.402261,0.406517,0.407142,0.398394,0.397253,0.399135,0.415929,0.411130
1.076972,0.299419,0.261438,0.269632,0.265606,0.266124,0.267320,0.269073,0.262616,0.262974,0.264437,0.274383,0.270813
1.179525,0.191256,0.167607,0.171604,0.170686,0.168271,0.170414,0.172902,0.168465,0.167638,0.170214,0.174960,0.173785
1.282081,0.117287,0.103418,0.105632,0.104065,0.104314,0.104958,0.107182,0.104736,0.102741,0.105509,0.108131,0.107581
1.384639,0.066060,0.057496,0.059134,0.058151,0.058015,0.058577,0.059899,0.059026,0.058107,0.058309,0.060165,0.060061
1.487198,0.031825,0.027381,0.028740,0.027952,0.027684,0.027762,0.029272,0.027752,0.027463,0.027558,0.028745,0.028898
1.589758,0.013101,0.011494,0.011821,0.011565,0.011573,0.011431,0.012107,0.011373,0.011306,0.011424,0.012265,0.011638
